Timestamp,Mode,PacketID,UUID,SNR_dB,RSSI_dBm,LossRate
2026-07-01T22:46:30.824182,FORM,45,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.50,-45,97.83
2026-07-01T22:46:31.352595,FORM,46,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.75,-45,95.74
2026-07-01T22:46:31.881440,FORM,47,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.00,-45,93.75
2026-07-01T22:46:32.410395,FORM,48,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.25,-45,91.84
2026-07-01T22:46:32.939450,FORM,49,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.25,-45,90.00
2026-07-01T22:46:33.468355,FORM,50,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.25,-45,88.24
2026-07-01T22:46:33.997747,FORM,51,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.00,-45,86.54
2026-07-01T22:46:34.526378,FORM,52,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.25,-46,84.91
2026-07-01T22:46:35.055532,FORM,53,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.25,-46,83.33
2026-07-01T22:46:35.584655,FORM,54,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.75,-46,81.82
2026-07-01T22:46:36.113579,FORM,55,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.00,-46,80.36
2026-07-01T22:46:36.642667,FORM,56,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.25,-46,78.95
2026-07-01T22:46:37.171430,FORM,57,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.50,-47,77.59
2026-07-01T22:46:37.700544,FORM,58,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.00,-46,76.27
2026-07-01T22:46:38.229801,FORM,59,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.25,-46,75.00
2026-07-01T22:46:38.758434,FORM,60,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.50,-46,73.77
2026-07-01T22:46:39.287796,FORM,61,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.75,-46,72.58
2026-07-01T22:46:39.816941,FORM,62,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.50,-46,71.43
2026-07-01T22:46:40.345458,FORM,63,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.00,-47,70.31
2026-07-01T22:46:40.874750,FORM,64,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.50,-46,69.23
2026-07-01T22:46:41.403613,FORM,65,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.00,-46,68.18
2026-07-01T22:46:41.932644,FORM,66,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.25,-47,67.16
2026-07-01T22:46:42.461873,FORM,67,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.25,-46,66.18
2026-07-01T22:46:42.990907,FORM,68,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.00,-46,65.22
2026-07-01T22:46:43.519719,FORM,69,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.50,-46,64.29
2026-07-01T22:46:44.048655,FORM,70,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.75,-46,63.38
2026-07-01T22:46:44.577775,FORM,71,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.50,-46,62.50
2026-07-01T22:46:45.107010,FORM,72,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.25,-47,61.64
