Timestamp,Mode,PacketID,UUID,SNR_dB,RSSI_dBm,LossRate
2026-07-01T22:46:17.069953,FORM,19,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.00,-48,95.00
2026-07-01T22:46:17.598165,FORM,20,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.25,-47,90.48
2026-07-01T22:46:18.127202,FORM,21,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.25,-44,86.36
2026-07-01T22:46:18.656487,FORM,22,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.75,-43,82.61
2026-07-01T22:46:19.185191,FORM,23,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.50,-43,79.17
2026-07-01T22:46:19.714261,FORM,24,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.50,-45,76.00
2026-07-01T22:46:20.243130,FORM,25,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,6.75,-45,73.08
2026-07-01T22:46:20.772392,FORM,26,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.00,-46,70.37
2026-07-01T22:46:21.301454,FORM,27,6d29ef52-7c6c-4eb0-97fb-f60e31388e09,7.75,-47,67.86
