Timestamp,Mode,SF,PacketID,UUID,Length,ToA_ms
2026-07-02T17:51:20.080950,PRE,6,0,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:21.355933,PRE,6,1,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:22.634466,PRE,6,2,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:23.917711,PRE,6,3,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:25.192540,PRE,6,4,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:26.473223,PRE,6,5,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:27.750896,PRE,6,6,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:29.029640,PRE,6,7,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:30.311118,PRE,6,8,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:31.587833,PRE,6,9,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:32.873220,PRE,6,10,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:34.146277,PRE,6,11,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:35.425566,PRE,6,12,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:36.704087,PRE,6,13,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:37.989782,PRE,6,14,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:39.267902,PRE,6,15,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:40.541133,PRE,6,16,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:41.820262,PRE,6,17,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:43.104878,PRE,6,18,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:44.383094,PRE,6,19,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:45.659633,PRE,6,20,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:46.936465,PRE,6,21,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:48.220051,PRE,6,22,2b998802-d58d-47dd-b456-f371db64282b,255,278
2026-07-02T17:51:49.495606,PRE,6,23,2b998802-d58d-47dd-b456-f371db64282b,255,278
